"uniqueid","person","trip","tour","home_taz","orig","dest","time","mode","inbound","tourpurpose","income_group","inc","hhsize","license","sex","age"
108362,3,1,1,408,23,16,5,"SOV",0,"P","Med",50,4,1,1,23
198424,3,1,1,409,25,39,1,"HOV3",0,"S","Med",65,6,0,2,12
197063,3,1,2,410,10,11,5,"HOV2",0,"P","Med",45,4,0,2,15
199013,2,1,3,410,20,35,1,"HOV2",0,"K","Med",70,6,1,1,54
199350,3,1,1,410,12,28,1,"SOV",0,"P","Med",55,9,1,2,20
197588,1,4,1,412,4,35,1,"HOV2",2,"W","Med",95,4,0,2,35
198770,6,1,2,412,18,16,5,"HOV2",0,"K","Med",70,6,0,2,17
157878,4,2,2,414,48,43,5,"HOV3",2,"L","Med",70,6,0,2,9
157891,10,5,1,414,35,35,5,"HOV2",2,"K","Med",45,11,0,2,5
156195,2,4,1,415,29,23,1,"HOV3",2,"K","Med",30,5,1,2,41
156607,2,2,1,415,39,41,5,"HOV2",2,"L","Med",45,3,0,2,62
157665,1,2,3,415,18,48,5,"SOV",2,"H","Med",60,9,1,1,44
160474,4,2,1,415,23,21,5,"HOV3",2,"S","Med",30,8,0,2,8
156201,2,1,1,416,13,49,1,"SOV",0,"W","Med",45,4,1,2,40
156410,4,2,2,416,12,1,1,"Walk",2,"T","Low",20,4,1,2,25
157672,2,2,1,416,15,24,1,"HOV2",2,"H","Low",15,5,1,2,51
158611,5,1,1,416,19,18,1,"HOV2",0,"S","Med",30,5,0,1,11
158804,1,2,2,416,9,24,5,"SOV",2,"R","Med",80,2,1,1,48
159911,1,5,1,417,39,47,5,"HOV2",2,"S","High",120,2,0,2,43
159922,2,2,2,417,26,7,5,"HOV3",2,"K","High",110,7,1,1,37
176703,6,2,2,418,30,36,1,"HOV3",2,"H","Med",45,6,0,1,1
179090,4,2,1,419,4,25,1,"Walk",2,"R","Low",10,4,0,2,5
180148,2,1,1,419,16,33,1,"SOV",0,"P","Med",75,8,1,2,42
177651,1,1,3,420,4,37,5,"SOV",0,"C","Low",5,2,1,2,58
177853,7,1,1,420,44,33,1,"HOV3",0,"P","High",110,7,1,2,61
178381,5,2,2,420,3,44,1,"HOV3",2,"H","Low",10,5,0,2,1
178931,1,2,3,420,22,50,5,"SOV",2,"H","Med",30,4,1,2,26
180660,1,2,1,420,18,14,1,"HOV2",2,"P","Med",45,2,1,1,68
180850,3,2,1,420,31,41,1,"HOV3",2,"S","Med",80,4,0,2,5
194588,2,2,2,422,16,42,1,"HOV3",2,"K","Low",0,3,0,2,19
194435,2,2,1,423,24,9,1,"HOV3",2,"K","Low",10,5,0,2,22
168139,1,3,1,424,19,11,1,"SOV",2,"S","Med",40,1,1,2,19
173255,2,3,2,424,33,35,5,"SOV",2,"S","Med",65,3,1,2,35
173459,2,1,1,424,15,13,1,"SOV",0,"W","Med",30,4,1,2,60
169459,3,2,1,425,26,27,1,"HOV3",2,"S","Med",25,5,0,2,7
172171,6,1,2,425,29,21,1,"Walk",0,"K","Med",60,6,0,1,1
168135,1,1,2,426,33,1,1,"Walk",0,"K","Low",10,2,1,2,35
168698,5,1,1,426,45,49,1,"Walk",0,"H","Low",20,6,0,1,3
169139,2,1,1,426,31,3,1,"SOV",0,"S","Med",55,3,1,1,21
170089,5,1,1,426,49,23,5,"HOV3",0,"H","Med",45,11,0,1,20
171581,2,4,1,426,6,33,5,"SOV",2,"W","Med",30,4,1,2,36
172177,1,6,1,426,33,28,5,"SOV",2,"P","Low",5,1,0,1,35
175647,1,4,1,426,19,35,5,"SOV",2,"P","Low",-5,1,1,1,21
188417,1,1,1,427,29,22,1,"SOV",0,"W","Med",75,3,1,2,23
187007,2,2,1,429,17,33,1,"SOV",0,"W","Med",45,6,1,2,42
151714,1,2,2,430,38,37,5,"HOV2",2,"T","Med",30,1,1,2,60
149372,1,2,1,432,5,4,1,"SOV",0,"W","Med",95,4,1,1,32
149607,2,5,1,432,13,32,5,"HOV2",2,"W","Med",95,4,1,2,58
150575,1,3,1,433,40,1,1,"HOV2",2,"L","Low",20,4,1,1,51
150027,2,2,2,438,3,48,5,"HOV2",2,"T","Low",20,3,0,2,77
109097,1,1,1,439,31,10,1,"SOV",0,"W","Med",70,2,1,1,77
110936,2,2,2,440,23,36,5,"SOV",2,"P","High",105,4,1,2,40
169582,1,5,1,442,26,5,5,"SOV",2,"S","Med",50,2,1,1,61
169999,6,2,1,442,34,3,1,"HOV3",2,"H","Med",25,6,0,2,1
170171,1,1,1,442,40,26,1,"HOV2",0,"W","Med",65,5,1,1,49
170381,1,1,1,442,33,49,1,"SOV",0,"W","High",145,4,1,2,52
166273,3,2,2,443,34,47,5,"SOV",2,"W","Med",25,3,1,1,39
165516,2,2,1,446,34,5,5,"SOV",2,"W","Med",75,6,1,2,42
164784,9,3,1,447,40,21,1,"Walk",2,"P","Low",20,12,0,1,17
166432,1,2,1,447,34,23,1,"SOV",2,"W","Med",65,2,1,1,61
166794,1,3,2,447,43,19,1,"SOV",2,"T","Med",80,3,1,2,30
168100,2,2,2,447,4,22,5,"SOV",2,"W","Med",70,3,1,2,62
99352,3,2,2,448,6,12,5,"HOV3",2,"S","Med",90,4,0,1,14
102156,3,1,1,448,35,22,1,"SOV",0,"S","High",100,6,1,2,19
103191,1,2,3,448,3,7,5,"HOV3",2,"K","Low",10,5,1,1,41
104050,1,1,1,448,49,8,1,"SOV",0,"W","Med",30,1,1,1,44
104846,2,1,1,448,33,14,5,"SOV",0,"H","Med",45,2,1,2,46
99605,1,3,1,450,21,35,5,"SOV",2,"W","Med",45,5,1,1,41
100822,1,1,1,450,38,38,1,"SOV",0,"H","High",110,3,1,1,31
100833,2,4,1,450,14,39,1,"SOV",2,"W","Low",15,2,1,1,51
101422,2,4,1,450,17,41,1,"SOV",2,"K","Low",0,2,1,1,53
101588,2,3,2,450,21,11,1,"SOV",0,"W","Med",55,4,1,1,30
104470,4,2,2,450,45,2,5,"HOV3",2,"H","Med",60,11,0,1,13
98842,5,1,2,451,38,13,1,"HOV2",0,"K","Med",35,5,0,1,0
105282,3,1,1,451,13,23,1,"SOV",0,"W","Med",40,3,1,2,34
105290,1,1,1,451,23,37,1,"SOV",0,"K","Med",30,3,1,2,54
89368,1,2,2,452,31,27,5,"SOV",2,"K","Low",-5,5,1,1,43
89368,3,1,2,452,9,23,5,"HOV3",0,"S","Low",-5,5,0,2,17
97173,1,2,2,452,28,18,5,"HOV2",2,"S","Med",85,4,1,2,51
98279,2,1,2,452,38,15,1,"SOV",0,"K","Med",65,4,1,2,35
93339,1,1,1,454,15,34,1,"Walk",0,"K","Low",5,5,0,2,36
97146,2,5,1,454,35,2,5,"HOV3",2,"H","Med",25,3,0,1,49
97428,3,1,2,454,38,4,5,"HOV3",0,"R","Med",75,5,0,1,16
88525,1,2,5,456,9,20,5,"HOV2",2,"K","Low",20,3,0,2,67
89053,2,1,3,456,3,11,1,"SOV",0,"K","Med",40,6,1,2,40
78931,2,2,1,457,22,15,1,"SOV",2,"P","Med",50,2,1,2,79
82463,2,2,1,457,11,41,1,"SOV",0,"S","Low",0,4,1,1,47
83218,1,1,3,457,45,20,5,"SOV",0,"W","Med",25,2,1,1,60
84875,3,2,1,457,45,19,5,"SOV",2,"S","Low",20,6,0,2,22
79689,1,1,1,458,22,19,1,"SOV",0,"W","Med",45,2,1,1,65
80770,2,1,4,458,13,42,5,"SOV",0,"L","Med",50,4,1,2,40
81874,2,2,2,458,38,40,5,"HOV3",2,"H","Med",90,10,0,2,13
83696,2,2,2,458,7,11,1,"HOV3",2,"H","Med",30,3,0,2,21
84942,1,1,1,458,4,41,1,"SOV",0,"H","Med",35,2,1,1,66
86040,3,1,1,458,35,31,1,"HOV2",0,"P","Med",30,3,1,2,17
87121,1,2,1,458,48,22,5,"SOV",2,"W","Med",40,6,1,1,32
87431,2,4,1,458,44,4,1,"SOV",1,"W","Med",80,2,1,2,48
87932,2,3,1,458,23,2,1,"HOV3",2,"K","Med",70,4,1,2,33
79976,4,4,1,459,26,4,5,"HOV3",2,"K","Low",20,6,0,2,25
81338,1,1,1,459,8,13,1,"HOV2",0,"W","Med",65,5,1,1,53
83416,1,1,1,459,10,17,1,"SOV",0,"P","Med",35,1,1,2,24
86019,1,5,1,459,26,29,5,"SOV",2,"P","Low",-5,1,1,1,77
38621,5,2,1,460,11,45,5,"Walk",2,"S","Low",0,9,0,2,16
39195,2,1,1,460,30,18,1,"HOV3",0,"P","Med",85,3,1,2,47
40051,1,4,2,460,46,34,5,"SOV",2,"P","High",100,3,1,1,48
40286,2,3,1,460,15,48,1,"HOV2",2,"P","Low",20,2,0,1,25
42252,5,2,1,460,27,26,1,"HOV3",2,"S","High",125,6,0,1,10
45804,3,2,1,460,17,9,5,"HOV2",2,"S","Low",10,4,0,1,12
38349,3,1,1,461,27,46,1,"HOV3",0,"S","Med",35,6,0,2,8
39503,4,1,1,461,29,13,1,"Walk",0,"S","Low",5,4,1,1,30
41636,1,2,2,461,49,46,1,"SOV",2,"K","Low",15,3,1,1,77
37285,1,3,1,462,35,8,1,"SOV",2,"W","Med",45,3,1,1,33
39222,4,2,2,462,24,49,1,"Walk",2,"K","Low",15,4,0,2,1
39770,5,2,6,463,20,17,5,"HOV3",2,"K","Med",55,5,0,1,2
41663,2,1,1,463,44,42,1,"SOV",0,"W","Med",65,3,1,2,37
44190,2,1,1,463,20,38,1,"HOV2",0,"S","Med",30,3,1,2,28
58467,5,2,2,464,17,20,5,"HOV3",2,"K","Med",40,5,1,2,39
63158,1,3,2,464,26,26,5,"HOV3",2,"H","High",140,5,1,1,45
56056,1,1,4,465,13,30,5,"Walk",0,"K","Low",5,1,0,2,64
62317,1,4,2,465,47,16,5,"SOV",2,"H","High",275,7,1,1,49
63957,2,2,2,465,27,2,1,"HOV2",2,"P","Low",15,2,0,2,23
64486,3,1,2,465,43,25,5,"HOV3",0,"K","Med",50,5,0,2,10
64733,5,2,3,465,24,3,5,"HOV2",2,"P","Low",20,6,0,1,52
56356,2,2,4,466,49,32,5,"SOV",2,"L","Low",15,2,1,2,30
56732,1,5,1,466,5,45,5,"SOV",2,"L","Low",5,2,1,2,34
65364,1,3,1,466,31,1,5,"HOV2",2,"H","Low",5,2,1,2,70
56872,3,1,1,467,25,5,1,"HOV3",0,"S","Low",15,4,0,2,5
56903,1,2,1,467,34,37,5,"SOV",2,"W","Med",40,1,1,1,47
56667,3,1,1,468,36,23,1,"HOV3",0,"S","Low",15,5,0,1,5
59494,1,2,3,468,37,46,5,"HOV3",2,"H","Med",75,6,1,2,31
65327,3,5,1,468,27,42,5,"SOV",2,"W","Med",25,4,1,1,23
77257,1,1,2,501,46,9,5,"SOV",0,"H","Low",5,1,1,1,54
77515,2,2,1,502,29,32,5,"HOV3",2,"L","Low",5,2,1,2,52
77564,3,2,1,502,11,14,1,"SOV",0,"W","Med",30,5,1,1,26
77855,2,5,2,502,44,12,5,"HOV2",2,"P","Med",35,6,0,2,26
76720,1,3,1,504,11,5,5,"Walk",2,"W","Med",30,1,0,1,44
1302910,1,1,2,508,48,43,1,"SOV",0,"W","Med",45,2,1,1,46
1300129,2,1,1,510,31,20,1,"SOV",0,"P","Med",30,2,1,2,60
1304150,1,4,1,510,12,13,1,"SOV",2,"P","Low",15,2,1,2,45
26232,5,2,2,511,38,34,5,"HOV3",2,"K","Med",40,5,0,1,0
45953,4,1,1,514,36,26,5,"HOV3",0,"L","Low",20,6,0,2,49
46028,6,2,1,514,41,1,5,"HOV3",2,"S","Low",20,7,0,2,10
47405,6,1,2,514,37,41,1,"HOV3",0,"T","Med",35,6,0,1,13
48463,4,1,3,514,35,23,1,"HOV2",0,"K","Med",65,4,1,1,34
49571,1,1,2,514,1,3,1,"HOV3",0,"K","Low",15,3,1,2,31
50821,5,1,3,514,20,34,5,"SOV",0,"K","Med",45,5,1,1,25
47070,1,1,1,515,36,18,1,"SOV",0,"W","Med",40,3,1,1,50
48188,11,2,1,515,45,31,5,"HOV3",2,"S","Med",35,13,0,1,2
50812,3,2,2,515,17,36,1,"HOV3",2,"T","Med",85,5,0,2,13
68039,4,2,2,516,49,18,5,"Walk",2,"T","Med",40,5,1,1,29
68379,2,1,1,516,24,5,1,"HOV3",0,"P","Low",20,3,1,2,70
70657,4,2,1,516,35,46,5,"HOV3",2,"S","Low",20,6,0,1,7
70965,1,4,1,516,13,13,5,"HOV3",2,"W","Low",10,4,0,2,24
71176,3,2,4,516,7,13,1,"SOV",2,"P","Med",45,3,1,1,28
71254,2,2,3,516,31,27,5,"SOV",2,"W","Med",70,2,1,1,22
72014,1,5,1,516,12,2,1,"SOV",2,"P","Low",0,1,1,1,55
66986,4,1,1,517,10,8,1,"SOV",0,"S","Low",5,8,0,1,17
67022,4,1,3,517,15,45,5,"Walk",0,"L","Med",45,6,0,1,18
72846,1,3,1,517,30,20,1,"HOV3",2,"P","Low",15,5,0,1,47
71741,4,2,1,518,4,24,1,"SOV",2,"S","High",110,5,1,1,18
72290,2,2,4,518,32,26,1,"SOV",2,"P","Med",40,6,1,2,40
51304,3,4,1,519,19,43,1,"SOV",0,"W","Med",50,3,1,1,23
52775,7,3,1,519,19,45,1,"HOV3",2,"K","Med",45,9,0,1,29
52806,2,1,1,519,30,43,1,"SOV",0,"W","Med",60,4,1,2,33
52275,5,3,1,520,39,46,1,"SOV",2,"T","Med",85,5,1,2,72
52505,2,2,2,520,30,27,5,"HOV3",2,"H","Med",30,3,1,2,55
52849,5,2,2,520,18,31,5,"HOV3",2,"P","Med",35,6,0,2,4
53865,6,2,1,520,4,9,5,"HOV3",2,"W","Med",45,10,0,1,32
173333,1,2,2,521,15,5,5,"HOV3",2,"T","Med",85,6,1,2,36
174109,4,1,1,521,19,25,1,"HOV2",0,"S","Med",25,4,0,1,10
173179,4,1,1,522,20,7,1,"HOV3",0,"K","Med",85,5,0,2,0
174273,2,1,1,522,5,25,1,"SOV",0,"P","Med",55,4,1,2,42
174397,2,1,1,522,35,12,1,"SOV",2,"W","Med",40,3,1,2,48
174843,2,2,1,522,45,13,1,"SOV",0,"W","High",105,4,1,2,56
175180,2,3,3,522,48,4,5,"HOV3",2,"H","Med",40,4,0,2,46
178439,2,5,1,523,48,4,5,"HOV3",2,"W","Med",95,12,1,1,38
179526,3,1,3,523,50,7,5,"HOV2",0,"L","Med",65,5,1,1,22
176096,3,1,3,524,34,36,5,"HOV3",0,"P","Low",20,11,1,1,26
177010,1,1,1,524,12,36,1,"SOV",0,"W","Med",75,2,1,1,57
177226,4,3,1,524,38,40,5,"HOV3",2,"S","Med",45,4,0,2,0
177975,2,2,1,524,9,4,1,"SOV",2,"K","Med",35,3,1,2,62
179292,2,3,1,524,13,4,1,"SOV",2,"H","Low",20,2,1,1,62
179829,1,2,1,524,32,34,5,"SOV",2,"W","Med",75,3,1,1,49
175737,3,3,1,525,47,45,1,"Walk",2,"K","Med",30,10,0,2,64
176495,1,7,1,525,9,35,1,"SOV",2,"W","Med",35,3,1,2,52
178105,4,1,1,525,7,19,1,"Walk",0,"K","Med",30,4,0,1,0
3987,3,2,2,527,14,29,1,"HOV3",2,"H","Med",65,6,1,2,26
5339,1,3,2,527,30,2,5,"HOV3",2,"H","Med",90,6,1,1,42
14263,5,3,1,527,12,11,1,"HOV2",2,"S","Med",35,6,0,2,16
3940,2,3,1,528,3,26,1,"SOV",2,"W","Med",60,3,1,2,36
4268,4,4,1,528,17,34,1,"Walk",2,"L","Low",20,4,1,2,34
6157,1,2,1,528,16,49,5,"SOV",2,"W","Med",25,2,1,1,25
7240,1,6,1,528,17,23,5,"SOV",2,"W","Med",50,1,1,1,39
9019,2,4,2,528,23,29,5,"HOV3",2,"H","Low",20,5,0,1,16
11547,3,4,1,528,41,8,5,"HOV3",2,"H","Med",80,7,1,1,45
12287,1,2,2,528,45,16,5,"HOV3",2,"L","Low",10,3,0,1,67
13751,2,6,1,528,9,20,5,"SOV",2,"K","Med",50,4,1,2,40
3093,1,3,1,530,3,28,1,"HOV2",0,"W","Med",75,3,1,1,43
3144,4,1,1,530,33,42,5,"HOV2",0,"K","Med",40,5,0,2,3
3991,1,3,2,530,30,28,5,"SOV",2,"H","Low",15,4,1,1,66
7795,3,1,1,530,36,7,1,"Walk",0,"S","High",225,4,0,2,11
9885,8,2,1,530,11,31,1,"HOV2",2,"W","Low",20,8,1,1,27
14001,4,6,1,530,25,33,5,"HOV3",2,"W","High",125,5,1,2,28
26764,1,2,1,531,12,28,5,"HOV2",2,"L","Low",10,2,1,2,64
27011,1,2,2,531,8,1,5,"HOV2",2,"C","Med",30,2,1,1,44
